94.195.229.134 - - [24/Jan/2013:15:01:53 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.porshhair.com%2Findex.html%23.UQGkVqS7i5g.facebook&h=6AQFwrrC5&s=1" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 10959
2.220.106.204 - - [24/Jan/2013:15:04:05 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "http://www.facebook.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 68201
2.220.106.204 - - [24/Jan/2013:15:04:06 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 36150
2.220.106.204 - - [24/Jan/2013:15:04:06 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 29317
2.220.106.204 - - [24/Jan/2013:15:04:06 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 40756
2.220.106.204 - - [24/Jan/2013:15:04:06 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744013 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 3132682
2.220.106.204 - - [24/Jan/2013:15:04:06 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 4120348
2.220.106.204 - - [24/Jan/2013:15:04:12 -0700] "GET www.porshhair.com/images/icon.ico HTTP/1.1" 200 5804 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 3 "-" "/var/chroot/home/content/61/10251861/html/images/icon.ico" 12838
2.220.106.204 - - [24/Jan/2013:15:04:21 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1725 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 30447
2.220.106.204 - - [24/Jan/2013:15:04:44 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/About/About.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 23934
